t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z
 1687176586.395936	1687187157.953900	5.535814	-21.434588	-0.870312	0.235866	0.235915	0.211971	-0.001892	0.001114	0.402289	0.218317	0.213813	0.217994	
 1687176586.701045	1687187158.258327	5.536052	-21.424617	-0.861819	0.232375	0.232386	0.209782	-0.006037	-0.001373	0.404897	0.216183	0.211523	0.215786	
 1687176587.008904	1687187158.567622	5.538429	-21.413464	-0.865684	0.238277	0.238277	0.213671	-0.005429	-0.001932	0.407238	0.221901	0.215367	0.219790	
 1687176587.315525	1687187158.872560	5.535124	-21.405847	-0.881039	0.237364	0.237387	0.212920	-0.003709	0.001367	0.408681	0.220715	0.214643	0.219092	
 1687176587.622663	1687187159.180238	5.532563	-21.409344	-0.894442	0.237310	0.237309	0.212744	-0.001371	0.004995	0.405388	0.220109	0.214482	0.218754	
 1687176587.927552	1687187159.485040	5.528995	-21.416596	-0.898590	0.235617	0.235614	0.211631	-0.002805	0.004613	0.404222	0.218630	0.213915	0.217501	
 1687176588.233397	1687187159.792819	5.529335	-21.421600	-0.888733	0.230174	0.230172	0.208047	-0.005439	0.004270	0.404105	0.215211	0.210326	0.213784	
 1687176588.537551	1687187160.094349	5.528185	-21.418519	-0.878737	0.237800	0.237793	0.213195	-0.001138	0.002630	0.403856	0.221855	0.215686	0.219085	
 1687176588.846081	1687187160.404571	5.530774	-21.415261	-0.875568	0.232272	0.232279	0.209628	0.000802	0.004419	0.404838	0.216627	0.211553	0.215565	
 1687176589.151182	1687187160.708503	5.530830	-21.410609	-0.871102	0.240250	0.240252	0.214801	-0.006417	0.006662	0.407311	0.221850	0.217104	0.220820	
 1687176589.459029	1687187161.016804	5.529868	-21.402561	-0.876759	0.235412	0.235407	0.211559	-0.003262	0.001956	0.407055	0.221612	0.215247	0.217555	
 1687176589.762264	1687187161.320667	5.533481	-21.400650	-0.878876	0.231046	0.231044	0.208595	-0.001136	0.001070	0.406322	0.215935	0.210431	0.214467	
 1687176590.067092	1687187161.625297	5.530954	-21.403446	-0.878072	0.236314	0.236320	0.212244	-0.003801	0.005089	0.406855	0.219016	0.213940	0.218240	
 1687176590.371363	1687187161.929535	5.526787	-21.411739	-0.878869	0.235857	0.235852	0.211878	-0.002856	0.007029	0.405514	0.219889	0.214767	0.217913	
 1687176590.674580	1687187162.233225	5.526221	-21.422921	-0.880645	0.234835	0.234847	0.211094	-0.003090	0.009556	0.404964	0.218916	0.214383	0.217304	
 1687176590.977586	1687187162.535349	5.534842	-21.431659	-0.869891	0.235795	0.235789	0.211820	-0.002897	0.004439	0.402840	0.219559	0.216408	0.217637	
 1687176591.281597	1687187162.838997	5.548654	-21.424205	-0.863175	0.228133	0.228126	0.206958	0.001285	-0.001162	0.398714	0.214194	0.209307	0.212645	
 1687176591.589089	1687187163.146179	5.561457	-21.419334	-0.865428	0.233345	0.233337	0.210308	-0.001807	0.005049	0.405904	0.217060	0.211917	0.216030	
 1687176591.893143	1687187163.451363	5.564715	-21.421752	-0.874545	0.234321	0.234300	0.210845	-0.004450	0.009600	0.408835	0.218229	0.213451	0.216830	
 1687176592.198869	1687187163.793390	5.553502	-21.422366	-0.884308	0.235250	0.235215	0.211302	-0.007591	0.008381	0.412911	0.220244	0.216273	0.217246	
 1687176592.504075	1687187164.097408	5.542352	-21.422395	-0.886836	0.235448	0.235442	0.211413	-0.011368	0.006717	0.409068	0.222672	0.216216	0.217264	
 1687176592.813923	1687187164.408274	5.535926	-21.421689	-0.880192	0.232012	0.232004	0.209008	-0.002905	0.004410	0.403773	0.224370	0.213052	0.214743	
 1687176593.123877	1687187164.740539	5.540371	-21.426269	-0.871062	0.244889	0.244929	0.217569	0.000790	0.008815	0.403173	0.225402	0.220137	0.223741	
 1687176593.427035	1687187165.034497	5.548984	-21.436413	-0.860720	0.232663	0.232702	0.210008	-0.001105	0.009881	0.403192	0.216822	0.214311	0.215889	
 1687176593.731277	1687187165.311716	5.532025	-21.417275	-0.860000	0.236654	0.236667	0.212573	-0.002757	0.005317	0.404073	0.219720	0.217543	0.218619	
