x,y,z,qx,qy,qz,qw
0,0,0,0,0,0,1
0.5,3.55271e-15,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,-3.55271e-15,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,3.55271e-15,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,-3.55271e-15,0,0,0,0,1
0.5,0,0,0,0,0,1
0.623106,0,0,0,0,2.22045e-16,1
0.0998334,0.00499583,0,0,0,0.0499792,0.99875
0.0998334,0.00499583,0,0,0,0.0499792,0.99875
0.0449635,0.00101137,0,0,0,0.0224874,0.999747
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.876894,0,0,0,0,0,1
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0707372,-0.00250501,0,0,0,-0.0353908,0.999374
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.979413,1.06581e-14,0,0,0,0,1
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0998334,-0.00499583,0,0,0,-0.0499792,0.99875
0.0707372,-0.00250501,0,0,0,-0.0353908,0.999374
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,-3.55271e-15,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,3.55271e-15,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,-0,-1.22465e-16,1
0.0998334,0.00499583,0,0,0,0.0499792,0.99875
0.0998334,0.00499583,0,0,0,0.0499792,0.99875
0.0998334,0.00499583,0,0,0,0.0499792,0.99875
