t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687526317.722518	1687526317.788618	17.051843	-24.661914	-0.980084	0.298212	0.298114	0.245801	0.024156	-0.039463	-2.092163	0.337126	0.269022	0.252795	0.020334	0.011025	0.865355	0.500626	
 1687526318.129427	1687526318.090959	16.967270	-24.518739	-0.973010	0.294262	0.294221	0.243911	0.028862	-0.043076	-2.109130	0.264422	0.277399	0.250992	0.023176	0.011607	0.869547	0.493170	
 1687526318.536430	1687526318.493772	16.874830	-24.423584	-0.972804	0.297060	0.297074	0.244819	0.059404	-0.040691	-2.082230	0.274766	0.290379	0.252006	0.035897	0.002547	0.862714	0.504410	
 1687526318.945991	1687526318.899855	16.793264	-24.299738	-0.954517	0.295331	0.295362	0.244366	-0.012406	-0.027188	-2.148620	0.374497	0.275143	0.251668	0.001022	0.014906	0.879123	0.476360	
 1687526319.351916	1687526319.303622	16.725672	-24.188113	-0.936845	0.289812	0.290212	0.242568	-0.004943	-0.013768	-2.124642	0.261388	0.274706	0.249401	0.001193	0.007216	0.873456	0.486848	
 1687526319.756120	1687526319.707216	16.675738	-24.107674	-0.930574	0.293444	0.293434	0.243771	0.021537	-0.036788	-2.156557	0.252851	0.253973	0.250933	0.018183	0.011115	0.881039	0.472564	
 1687526320.162489	1687526320.112276	16.587542	-24.007649	-0.943562	0.297817	0.297811	0.245238	0.038997	-0.025047	-2.128485	0.267244	0.293538	0.252714	0.023122	0.001490	0.874305	0.484823	
 1687526320.565913	1687526320.516314	16.505656	-23.912638	-0.942533	0.287881	0.287869	0.241161	0.011413	-0.012897	-2.116766	0.319593	0.258916	0.248514	0.008135	0.002822	0.871550	0.490232	
 1687526320.968996	1687526320.919571	16.452038	-23.834676	-0.952466	0.297716	0.297729	0.245304	0.032447	-0.019940	-2.176807	0.257820	0.253250	0.252685	0.018995	0.001305	0.885802	0.463673	
 1687526321.372860	1687526321.323195	16.410976	-23.741933	-0.923193	0.297177	0.297210	0.245232	-0.025923	-0.008602	-2.248736	0.304931	0.258222	0.252930	-0.009834	0.009475	0.901887	0.431757	
 1687526321.779386	1687526321.728045	16.357904	-23.704615	-0.912048	0.296929	0.297318	0.245602	0.017518	-0.020874	-2.221851	0.295040	0.254815	0.252895	0.012480	0.005465	0.896067	0.443709	
 1687526322.182536	1687526322.131402	16.288438	-23.645202	-0.907611	0.298373	0.298462	0.245744	0.006983	-0.007924	-2.244996	0.265246	0.264663	0.253418	0.004864	0.002057	0.901179	0.433414	
 1687526322.588801	1687526322.535128	16.247132	-23.593826	-0.907857	0.292654	0.292710	0.243198	-0.018209	0.002646	-2.250727	0.251395	0.247624	0.250834	-0.008786	0.002729	0.902391	0.430819	
 1687526323.000504	1687526322.938758	16.203555	-23.568585	-0.918708	0.295573	0.295673	0.244117	-0.001924	-0.008300	-2.286611	0.269864	0.245880	0.251790	0.000845	0.004175	0.909999	0.414589	
 1687526323.309268	1687526323.241456	16.189152	-23.544608	-0.899822	0.247984	0.248014	0.219488	-0.051645	-0.000638	-2.382945	0.225062	0.224697	0.226102	-0.023866	0.009857	0.928602	0.370177	
 1687526323.714166	1687526323.645093	16.126528	-23.523901	-0.916585	0.292498	0.292707	0.242860	0.032853	0.006134	-2.336787	0.388113	0.247036	0.250187	0.013913	-0.009255	0.919974	0.391622	
 1687526324.123662	1687526324.047603	16.086045	-23.507315	-0.902078	0.297693	0.297913	0.245392	-0.009938	0.011574	-2.386102	0.309034	0.251334	0.252620	-0.006753	-0.003546	0.929482	0.368788	
 1687526324.427876	1687526324.351495	16.071668	-23.479784	-0.896932	0.239916	0.240015	0.214898	-0.001061	-0.006434	-2.452134	0.221830	0.220425	0.221246	0.000588	0.003207	0.941161	0.337942	
 1687526324.834851	1687526324.753838	16.027044	-23.461505	-0.910163	0.291732	0.291833	0.242158	0.012138	-0.012502	-2.476663	0.246300	0.245488	0.249482	0.007777	0.003928	0.945217	0.326326	
 1687526325.138394	1687526325.056720	16.003981	-23.450256	-0.905326	0.246702	0.246773	0.218693	-0.013831	-0.011946	-2.528639	0.226354	0.225261	0.224914	-0.004791	0.007781	0.953350	0.301728	
