t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687529180.919213	1687529180.846195	14.998696	-18.340116	-0.982009	0.294272	0.294200	0.244691	-0.020302	-0.084698	0.997514	0.279679	0.457409	0.251794	0.042028	-0.011344	-0.478258	0.877140	
 1687529181.324600	1687529181.251850	14.983375	-18.322890	-0.990806	0.300462	0.300268	0.246573	-0.039148	-0.070582	1.004028	0.283030	0.482297	0.253647	0.040336	0.000172	-0.481406	0.875569	
 1687529181.727807	1687529181.655122	14.968309	-18.332795	-0.989350	0.298269	0.297682	0.245050	-0.023594	-0.073315	0.974476	0.341836	0.443835	0.251822	0.037902	-0.006740	-0.468222	0.882772	
 1687529182.131706	1687529182.058819	14.983126	-18.328556	-0.983197	0.295296	0.294976	0.244627	-0.024009	-0.082854	1.002888	0.291602	0.454498	0.252056	0.042079	-0.009389	-0.480681	0.875835	
 1687529182.536258	1687529182.460913	15.007252	-18.324906	-0.992673	0.291620	0.291361	0.243045	-0.037823	-0.075837	1.021050	0.295526	0.516955	0.250354	0.042303	-0.002033	-0.488822	0.871355	
 1687529182.939252	1687529182.865204	15.008465	-18.344798	-1.005864	0.298882	0.298380	0.245719	-0.036532	-0.069738	0.984198	0.341048	0.474654	0.253003	0.039345	-0.000381	-0.472672	0.880360	
 1687529183.347482	1687529183.270304	15.025313	-18.364738	-1.013576	0.298626	0.298063	0.245908	-0.022458	-0.083659	0.999827	0.340501	0.462294	0.253256	0.042075	-0.010198	-0.479312	0.876576	
 1687529183.750887	1687529183.678331	15.038421	-18.381623	-1.016838	0.294067	0.293701	0.243895	-0.032549	-0.081087	1.002826	0.295151	0.545167	0.251274	0.043354	-0.005221	-0.480785	0.875751	
 1687529184.156470	1687529184.081161	15.032223	-18.386921	-1.010034	0.295790	0.295216	0.244785	-0.048927	-0.075868	0.992380	0.326731	0.522898	0.252111	0.044978	0.003446	-0.476410	0.878066	
 1687529184.565483	1687529184.483038	15.037357	-18.385923	-1.018765	0.289669	0.289279	0.241840	-0.020287	-0.075495	0.998059	0.396162	0.500956	0.249161	0.037986	-0.009160	-0.478544	0.877194	
 1687529184.971636	1687529184.887366	15.060941	-18.390611	-1.018250	0.293166	0.293006	0.243457	-0.028704	-0.088923	1.006290	0.289691	0.517195	0.250792	0.045848	-0.008869	-0.482216	0.874807	
 1687529185.381440	1687529185.295094	15.069212	-18.395215	-1.020350	0.302868	0.302622	0.247789	-0.038031	-0.076362	1.000827	0.315513	0.562239	0.255367	0.042602	-0.001640	-0.479989	0.876238	
 1687529185.785066	1687529185.706179	15.066259	-18.416891	-1.039558	0.292819	0.292450	0.243131	-0.032186	-0.082035	0.982595	0.347170	0.500185	0.250444	0.043737	-0.005166	-0.471894	0.880555	
 1687529186.192091	1687529186.110694	15.077935	-18.431940	-1.033809	0.290356	0.290048	0.242100	-0.045241	-0.079698	1.034506	0.316734	0.504509	0.249361	0.045794	-0.000051	-0.494759	0.867823	
 1687529186.598082	1687529186.512420	15.098549	-18.460843	-1.026621	0.292343	0.291933	0.243162	-0.048571	-0.080538	1.022314	0.368162	0.491295	0.250419	0.046971	0.001474	-0.489499	0.870737	
 1687529187.005027	1687529186.915861	15.154859	-18.503688	-1.020540	0.297084	0.296706	0.245301	-0.049029	-0.079162	1.058096	0.398121	0.521832	0.252622	0.046513	0.001178	-0.505002	0.861863	
 1687529187.410766	1687529187.319038	15.247519	-18.267618	-0.994884	0.301208	0.300930	0.247393	-0.017205	-0.087295	0.990535	0.347257	0.411423	0.254365	0.042474	-0.013176	-0.475127	0.878793	
 1687529187.815598	1687529187.722464	15.290031	-18.025320	-0.965476	0.295693	0.311069	0.298867	-0.016323	-0.071637	0.926860	0.253035	0.303162	0.250319	0.035679	-0.008711	-0.446979	0.893790	
 1687529188.218651	1687529188.127006	15.273082	-17.877544	-0.963928	0.314495	0.300653	0.320759	-0.004929	-0.058513	0.908907	0.256282	0.313335	0.250703	0.027364	-0.010627	-0.438847	0.898082	
 1687529188.624685	1687529188.529242	15.147939	-18.180103	-0.965745	0.331623	0.314621	0.375071	-0.030098	-0.083953	0.911857	0.256132	0.346735	0.251632	0.044293	-0.004975	-0.440426	0.896682	
 1687529189.032933	1687529189.034173	15.119291	-18.281808	-0.997079	0.342460	0.313294	0.341078	-0.037093	-0.088525	0.900518	0.292428	0.547539	0.246315	0.047894	-0.002573	-0.435437	0.898941	
 1687529189.437152	1687529189.440330	15.350561	-18.803755	-1.011535	0.302194	0.309053	0.317726	-0.038213	-0.083911	0.983428	0.294551	0.710913	0.249488	0.045980	-0.002972	-0.472343	0.880210	
 1687529189.841228	1687529189.846447	15.480892	-19.061849	-1.005431	0.298323	0.326752	0.393547	-0.046929	-0.085831	0.890950	0.294181	0.865367	0.250378	0.048805	0.002672	-0.431280	0.900893	
 1687529190.245360	1687529190.149179	15.414630	-18.850392	-0.994812	0.304901	0.307288	0.263011	-0.043599	-0.080517	0.928896	0.341321	0.887386	0.250220	0.045732	0.001449	-0.448244	0.892739	
 1687529190.653040	1687529190.562762	15.494387	-18.882273	-0.956274	0.329463	0.296354	0.245259	-0.042754	-0.072302	0.960165	0.367759	1.027093	0.249183	0.041916	0.002257	-0.462130	0.885818	
 1687529191.058809	1687529190.966441	15.547845	-18.880063	-0.955130	0.302664	0.302501	0.248127	-0.035063	-0.058817	1.006856	0.339311	0.670745	0.250423	0.034206	0.001166	-0.482600	0.875172	
 1687529191.472676	1687529191.471238	15.627742	-18.981127	-0.966079	0.314402	0.307860	0.256875	-0.046216	-0.055834	1.050559	0.317800	0.509245	0.251081	0.035726	0.005989	-0.501684	0.864292	
 1687529191.879407	1687529191.875302	15.544760	-19.469813	-0.962640	0.323315	0.321675	0.287950	-0.059724	-0.054210	1.065739	0.377784	0.470647	0.251893	0.038496	0.011947	-0.508291	0.860242	
 1687529192.284174	1687529192.279678	15.553499	-19.512190	-0.976952	0.334097	0.311453	0.314099	-0.035715	-0.084264	1.087000	0.526930	0.429507	0.250346	0.045271	-0.006508	-0.517237	0.854619	
 1687529192.687870	1687529192.683125	15.430802	-19.726598	-0.987507	0.289819	0.300707	0.286253	-0.036718	-0.083710	1.034181	0.297559	0.817578	0.245511	0.045433	-0.004738	-0.494505	0.867974	
 1687529193.091864	1687529193.085125	15.450750	-19.945387	-1.001474	0.297773	0.300099	0.284766	-0.043935	-0.083538	1.074423	0.325802	0.821144	0.250176	0.047097	-0.002509	-0.511961	0.857713	
 1687529193.498101	1687529193.488716	15.576078	-19.798446	-0.992364	0.305895	0.300051	0.269360	-0.046649	-0.098717	0.964451	0.372654	0.840513	0.251063	0.054503	-0.002237	-0.464081	0.884112	
 1687529193.903876	1687529193.891030	15.599986	-20.169200	-1.006649	0.313856	0.298268	0.245155	-0.038393	-0.114588	0.916336	0.421650	1.179166	0.249548	0.059823	-0.008136	-0.442484	0.894742	
 1687529194.311500	1687529194.297857	15.659897	-20.122355	-1.023301	0.300107	0.301892	0.249835	-0.037588	-0.104828	0.931162	0.316723	1.016308	0.249105	0.055231	-0.006746	-0.449126	0.891734	
 1687529194.715518	1687529194.702172	15.715115	-20.224042	-1.020449	0.304245	0.299251	0.246779	-0.020393	-0.113718	0.849127	0.348573	1.188011	0.251613	0.055973	-0.014132	-0.411764	0.909460	
 1687529195.119140	1687529195.112238	15.770287	-20.418202	-1.014663	0.296724	0.296831	0.245676	-0.025469	-0.099501	0.957391	0.273523	1.450551	0.249287	0.049995	-0.011616	-0.460576	0.886135	
 1687529195.525887	1687529195.438713	15.811818	-20.485051	-1.015904	0.300865	0.299275	0.247098	-0.019633	-0.100960	0.973365	0.310810	1.502297	0.252077	0.049183	-0.014933	-0.467516	0.882489	
 1687529195.931149	1687529195.842984	15.893541	-20.641424	-1.016459	0.299247	0.298745	0.246737	-0.023040	-0.099813	0.961272	0.283508	1.566667	0.250888	0.049550	-0.012861	-0.462246	0.885273	
 1687529196.336023	1687529196.245666	15.934311	-20.737310	-1.015121	0.300319	0.298899	0.246871	-0.026377	-0.100463	0.985178	0.301159	1.480179	0.252013	0.050466	-0.012137	-0.472854	0.879610	
 1687529196.739457	1687529196.648738	15.936847	-20.725056	-1.013122	0.294317	0.292584	0.244097	-0.026174	-0.089039	0.974850	0.320101	1.514903	0.247979	0.045442	-0.009291	-0.468363	0.882318	
 1687529197.143765	1687529197.051453	15.950953	-20.784094	-1.009987	0.297534	0.296957	0.245664	-0.003452	-0.101107	0.950195	0.320579	1.184534	0.249430	0.045724	-0.021582	-0.456918	0.888071	
 1687529197.547646	1687529197.460695	15.941873	-20.754266	-1.003997	0.298958	0.298719	0.246514	-0.005289	-0.098705	0.924676	0.247682	1.361965	0.251333	0.045331	-0.019640	-0.445614	0.893861	
 1687529197.951600	1687529197.888247	15.957395	-20.790303	-0.993349	0.297066	0.299182	0.248146	-0.012158	-0.101366	0.922657	0.248612	0.975474	0.250053	0.048067	-0.017114	-0.444834	0.894158	
 1687529198.358444	1687529198.290855	15.968058	-20.800862	-0.985232	0.300139	0.299805	0.247149	-0.016686	-0.090742	0.927276	0.258279	0.975875	0.251416	0.044293	-0.012828	-0.447068	0.893311	
 1687529198.770930	1687529198.694343	16.018785	-20.590071	-0.970205	0.298360	0.297233	0.246051	-0.005434	-0.088015	0.886029	0.271476	0.927783	0.249937	0.040910	-0.016406	-0.428356	0.902534	
 1687529199.175542	1687529199.096449	16.135049	-20.572589	-0.957123	0.303930	0.311217	0.264807	-0.031014	-0.087605	0.974421	0.252022	0.500164	0.253051	0.045941	-0.006809	-0.468258	0.882371	
 1687529199.582326	1687529199.497872	16.350986	-20.828996	-0.972200	0.317394	0.326493	0.281747	-0.046980	-0.095855	1.033774	0.271667	0.457944	0.251663	0.053233	-0.003273	-0.494451	0.867568	
 1687529199.986635	1687529199.901945	16.491478	-21.201914	-0.957095	0.320554	0.330485	0.361689	-0.063920	-0.091230	1.110450	0.290951	0.651823	0.249236	0.055556	0.003101	-0.527556	0.847696	
 1687529200.395010	1687529200.306383	16.600598	-21.613192	-0.955592	0.318027	0.303516	0.317915	-0.093046	-0.082384	1.203343	0.375591	0.665201	0.249679	0.060213	0.015023	-0.566508	0.821716	
 1687529200.799996	1687529200.711541	16.555101	-21.487172	-0.940640	0.304474	0.301101	0.362930	-0.090369	-0.106591	1.142568	0.635879	0.602351	0.248313	0.069154	0.009168	-0.541418	0.837854	
 1687529201.209806	1687529201.216623	16.469112	-21.189671	-0.936849	0.303458	0.328134	0.408790	-0.071351	-0.114668	1.091324	0.583684	1.247988	0.249688	0.067431	0.000718	-0.519549	0.851776	
 1687529201.617526	1687529201.619720	16.149733	-20.551888	-0.933712	0.302460	0.327519	0.418833	-0.043319	-0.124456	1.013151	0.437967	1.801458	0.249535	0.064853	-0.011264	-0.485311	0.871861	
 1687529202.021263	1687529201.932091	16.254213	-20.570601	-0.914915	0.303777	0.328609	0.419894	-0.045210	-0.110000	0.976293	0.300315	2.401682	0.250908	0.059124	-0.005842	-0.469258	0.881060	
 1687529202.429010	1687529202.338342	16.172685	-20.316670	-0.891843	0.297729	0.297202	0.247905	-0.048595	-0.119231	0.998644	0.342074	2.285932	0.249173	0.063903	-0.007230	-0.479109	0.875396	
 1687529202.832289	1687529202.743250	16.106347	-20.129145	-0.895493	0.293401	0.295718	0.245926	-0.036635	-0.120126	1.004817	0.374145	2.323641	0.247969	0.061404	-0.012876	-0.481552	0.874169	
 1687529203.235748	1687529203.151636	16.046116	-19.992377	-0.887425	0.295573	0.297339	0.245870	-0.058312	-0.115146	0.995275	0.334005	2.693482	0.250798	0.064433	-0.001882	-0.477831	0.876083	
 1687529203.639506	1687529203.555944	15.989464	-19.847956	-0.880167	0.287622	0.288191	0.242223	-0.055831	-0.131422	0.981948	0.498336	2.309306	0.247900	0.071016	-0.006386	-0.471901	0.878764	
 1687529204.043067	1687529203.960174	15.966827	-19.741813	-0.896284	0.295433	0.295951	0.245376	-0.022715	-0.105305	1.023036	0.447444	2.430887	0.251650	0.051440	-0.015870	-0.489313	0.870445	
 1687529204.446981	1687529204.365148	15.937112	-19.633797	-0.905801	0.294013	0.295026	0.245931	-0.005283	-0.099606	1.017063	0.292758	2.057961	0.250621	0.044767	-0.021934	-0.486405	0.872310	
 1687529204.851025	1687529204.768875	15.922914	-19.555458	-0.911462	0.297866	0.298732	0.246932	-0.017634	-0.089602	0.996132	0.249593	1.912456	0.252300	0.043551	-0.013657	-0.477577	0.877404	
 1687529205.255614	1687529205.171966	15.916174	-19.524377	-0.924714	0.297438	0.297702	0.245899	0.019780	-0.102307	0.982266	0.281827	1.751596	0.252173	0.040427	-0.032823	-0.470540	0.880841	
 1687529205.658942	1687529205.577386	15.931437	-19.474940	-0.906632	0.291704	0.292149	0.244157	-0.020087	-0.098380	0.998120	0.290278	1.820774	0.250206	0.047972	-0.014724	-0.478431	0.876690	
 1687529206.065397	1687529205.981141	15.928508	-19.461761	-0.924888	0.297827	0.297230	0.246019	-0.017278	-0.077149	1.012977	0.286602	1.618668	0.252424	0.037910	-0.011159	-0.485022	0.873609	
 1687529206.469082	1687529206.385908	15.942025	-19.482379	-0.934702	0.301022	0.299708	0.247170	-0.030627	-0.084292	1.015490	0.280989	1.131489	0.253325	0.044253	-0.007114	-0.486283	0.872651	
 1687529206.878073	1687529206.789787	15.957791	-19.465302	-0.944234	0.294626	0.293628	0.244477	-0.016349	-0.089145	0.985469	0.314119	0.896445	0.250452	0.043119	-0.013882	-0.472872	0.879966	
 1687529207.282566	1687529207.191784	15.973658	-19.497377	-0.948261	0.301363	0.300431	0.247198	-0.019725	-0.074812	0.978422	0.271920	1.085895	0.253500	0.037641	-0.008874	-0.469904	0.881870	
 1687529207.685413	1687529207.597105	15.988192	-19.504009	-0.956801	0.293754	0.292918	0.244277	-0.013795	-0.074856	0.994925	0.278719	0.810789	0.249982	0.036172	-0.011799	-0.477078	0.878037	
