x,y,z,qx,qy,qz,qw
0,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,-1.11022e-16,0,0,0,0,1
0.4,1.11022e-16,0,0,0,0,1
0.4,-8.32667e-17,0,0,0,0,1
0.496498,1.11022e-16,0,0,0,0.281799,0.959473
0.4,5.55112e-17,0,0,0,0,1
0.4,5.55112e-17,0,0,0,0,1
0.4,8.32667e-17,0,0,0,0,1
0.4,5.55112e-17,0,0,0,0,1
0.4,6.93889e-17,0,0,0,0,1
0.4,5.55112e-17,0,0,0,0,1
0.4,6.93889e-17,0,0,0,0,1
0.4,6.93889e-17,0,0,0,0,1
0.4,5.55112e-17,0,0,0,0,1
0.4,6.93889e-17,0,0,0,0,1
0.4,6.93889e-17,0,0,0,0,1
0.4,5.55112e-17,0,0,0,0,1
0.4,6.93889e-17,0,0,0,0,1
0.4,5.55112e-17,0,0,0,0,1
0.4,8.32667e-17,0,0,0,0,1
0.4,5.55112e-17,0,0,0,0,1
0.4,5.55112e-17,0,0,0,0,1
0.5,5.27356e-16,0,0,0,-0.707107,0.707107
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.6,0,0,0,0,-0.707107,0.707107
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,-2.22045e-16,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,-2.22045e-16,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,-2.22045e-16,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,-2.22045e-16,0,0,0,0,1
0.4,2.22045e-16,0,0,0,0,1
0.4,-2.22045e-16,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.5,-6.66134e-16,0,0,0,0.707107,0.707107
0.6,0,0,0,0,0.707107,0.707107
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,4.44089e-16,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,4.44089e-16,0,0,0,0,1
0.4,0,0,0,0,0,1
0.7,0,0,0,0,0.97109,-0.238712
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.453092,0,0,0,0,0.97109,0.238712
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,0,0,0,0,0,1
0.4,8.88178e-16,0,0,0,0,1
