x,y,z,qx,qy,qz,qw
0,0,0,0,0,0,1
0.5,-3.55271e-15,0,0,0,0,1
0.5,3.55271e-15,0,0,0,0,1
0.5,-3.55271e-15,0,0,0,0,1
0.5,3.55271e-15,0,0,0,0,1
0.5,-3.55271e-15,0,0,0,0,1
0.5,3.55271e-15,0,0,0,0,1
0.5,0,0,0,0,0,1
0.560553,-3.55271e-15,0,0,0,-1.249e-16,1
0.249619,0.0316558,0,0,0,0.125809,0.992054
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.873183,0,0,0,0,0,1
0.389418,-0.078939,0,0,0,-0.198669,0.980067
0.389418,-0.078939,0,0,0,-0.198669,0.980067
0.389418,-0.078939,0,0,0,-0.198669,0.980067
0.362358,-0.0679609,0,0,0,-0.184338,0.982863
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.979413,1.06581e-14,0,0,0,0,1
0.389418,-0.078939,0,0,0,-0.198669,0.980067
0.389418,-0.078939,0,0,0,-0.198669,0.980067
0.389418,-0.078939,0,0,0,-0.198669,0.980067
0.362358,-0.0679609,0,0,0,-0.184338,0.982863
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,-3.55271e-15,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,3.55271e-15,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,-0,-1.22465e-16,1
0.389418,0.078939,0,0,0,0.198669,0.980067
0.389418,0.078939,0,0,0,0.198669,0.980067
0.389418,0.078939,0,0,0,0.198669,0.980067
0.362358,0.0679609,0,0,0,0.184338,0.982863
0.5,0,0,0,0,0,1
0.649773,-2.22045e-16,0,0,-0,-2.22045e-16,1
0.389418,0.078939,0,0,0,0.198669,0.980067
0.389418,0.078939,0,0,0,0.198669,0.980067
0.389418,0.078939,0,0,0,0.198669,0.980067
0.362358,0.0679609,0,0,0,0.184338,0.982863
0.5,0,0,0,0,0,1
0.569323,0,0,0,0,0,1
0.389418,-0.078939,0,0,0,-0.198669,0.980067
0.389418,-0.078939,0,0,0,-0.198669,0.980067
0.389418,-0.078939,0,0,0,-0.198669,0.980067
0.389418,-0.078939,0,0,0,-0.198669,0.980067
0.267536,-0.0364522,0,0,0,-0.135004,0.990845
0.5,4.44089e-16,0,0,0,0,1
0.5,4.44089e-16,0,0,0,0,1
0.5,-4.44089e-16,0,0,0,0,1
0.5,-4.44089e-16,0,0,0,0,1
0.5,4.44089e-16,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,4.44089e-16,0,0,0,0,1
0.5,-1.33227e-15,0,0,0,0,1
0.5,4.44089e-16,0,0,0,0,1
0.5,4.44089e-16,0,0,0,0,1
0.5,-8.88178e-16,0,0,0,0,1
0.5,4.44089e-16,0,0,0,0,1
0.5,-4.44089e-16,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.877561,0,0,0,0,-1.11022e-16,1
0.389418,0.078939,0,0,0,0.198669,0.980067
0.389418,0.078939,0,0,0,0.198669,0.980067
0.389418,0.078939,0,0,0,0.198669,0.980067
0.389418,0.078939,0,0,0,0.198669,0.980067
0.267536,0.0364522,0,0,0,0.135004,0.990845
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
0.5,0,0,0,0,0,1
